task_id	hash	native_id	name	status	exit	submit	duration	realtime	%cpu	peak_rss	peak_vmem	rchar	wchar
2	19/ea228d	83582	MSK_NUCLEOVAR:NUCLEOVAR:BCFTOOLS_ALL_VARDICT:TABIX_BGZIPTABIX (DONOR22-TP_cl_aln_srt_MD_IR_FX_BR__aln_srt_IR_FX-duplex-C-2HXC96-P001-d01_cl_aln_srt_MD_IR_FX_BR__aln_srt_IR_FX-duplex.vardict.filtered)	CACHED	0	2024-02-05 13:06:03.890	1s	0ms	116.1%	9.5 MB	158 MB	478.9 KB	64.6 KB
3	57/0a1b54	89252	MSK_NUCLEOVAR:NUCLEOVAR:BCFTOOLS_ALL_VARDICT_COMPLEXVAR:TABIX_BGZIPTABIX (DONOR22-TP_cl_aln_srt_MD_IR_FX_BR__aln_srt_IR_FX-duplex-C-2HXC96-P001-d01_cl_aln_srt_MD_IR_FX_BR__aln_srt_IR_FX-duplex_STDfilter_complex)	CACHED	0	2024-02-05 13:20:26.173	1.1s	0ms	117.6%	11.1 MB	158 MB	123.5 KB	6 KB
1	8c/f7ee50	2096	MSK_NUCLEOVAR:NUCLEOVAR:BCFTOOLS_ALL_MUTECT:TABIX_BGZIPTABIX (test)	COMPLETED	0	2024-02-06 16:21:05.883	989ms	0ms	117.6%	11.1 MB	158 MB	176.8 KB	19.2 KB
5	12/a2625e	2170	MSK_NUCLEOVAR:NUCLEOVAR:BCFTOOLS_ALL_VARDICT:BCFTOOLS_NORM (DONOR22-TP_cl_aln_srt_MD_IR_FX_BR__aln_srt_IR_FX-duplex-C-2HXC96-P001-d01_cl_aln_srt_MD_IR_FX_BR__aln_srt_IR_FX-duplex.vardict.filtered)	COMPLETED	0	2024-02-06 16:21:06.876	8.1s	7.7s	99.8%	11.9 MB	403.9 MB	2.9 GB	58.1 KB
4	49/e4fb63	2256	MSK_NUCLEOVAR:NUCLEOVAR:BCFTOOLS_ALL_VARDICT_COMPLEXVAR:BCFTOOLS_NORM (DONOR22-TP_cl_aln_srt_MD_IR_FX_BR__aln_srt_IR_FX-duplex-C-2HXC96-P001-d01_cl_aln_srt_MD_IR_FX_BR__aln_srt_IR_FX-duplex_STDfilter_complex)	COMPLETED	0	2024-02-06 16:21:14.947	8.1s	7.7s	100.0%	10.5 MB	275.9 MB	2.9 GB	6.3 KB
6	44/f04b85	2340	MSK_NUCLEOVAR:NUCLEOVAR:BCFTOOLS_ALL_MUTECT:BCFTOOLS_NORM (test)	COMPLETED	0	2024-02-06 16:21:23.002	9.5s	9.1s	100.0%	11.5 MB	275.9 MB	2.9 GB	12.2 KB
7	e9/cc3a11	2427	MSK_NUCLEOVAR:NUCLEOVAR:BCFTOOLS_ALL_VARDICT:BCFTOOLS_SORT (DONOR22-TP_cl_aln_srt_MD_IR_FX_BR__aln_srt_IR_FX-duplex-C-2HXC96-P001-d01_cl_aln_srt_MD_IR_FX_BR__aln_srt_IR_FX-duplex.vardict.filtered)	COMPLETED	0	2024-02-06 16:21:32.476	391ms	39ms	73.2%	10.8 MB	686.4 MB	462.4 KB	332.3 KB
8	9f/d130ae	2463	MSK_NUCLEOVAR:NUCLEOVAR:BCFTOOLS_ALL_VARDICT_COMPLEXVAR:BCFTOOLS_SORT (DONOR22-TP_cl_aln_srt_MD_IR_FX_BR__aln_srt_IR_FX-duplex-C-2HXC96-P001-d01_cl_aln_srt_MD_IR_FX_BR__aln_srt_IR_FX-duplex_STDfilter_complex)	COMPLETED	0	2024-02-06 16:21:32.869	358ms	15ms	58.8%	2.2 MB	3.5 MB	158.9 KB	28.7 KB
9	63/fb6178	2489	MSK_NUCLEOVAR:NUCLEOVAR:BCFTOOLS_ALL_MUTECT:BCFTOOLS_SORT (test)	COMPLETED	0	2024-02-06 16:21:33.230	383ms	18ms	50.0%	10.8 MB	686.8 MB	183.8 KB	53.8 KB
10	28/5fbf35	2515	MSK_NUCLEOVAR:NUCLEOVAR:BCFTOOLS_CONCAT_VARDICTS:BCFTOOLS_CONCAT (DONOR22-TP_cl_aln_srt_MD_IR_FX_BR__aln_srt_IR_FX-duplex-C-2HXC96-P001-d01_cl_aln_srt_MD_IR_FX_BR__aln_srt_IR_FX-duplex)	COMPLETED	0	2024-02-06 16:21:33.616	395ms	44ms	65.2%	12 MB	413.5 MB	529 KB	7.3 KB
11	d3/9454d2	2556	MSK_NUCLEOVAR:NUCLEOVAR:TEST_MODULE (1)	FAILED	255	2024-02-06 16:21:34.016	356ms	260ms	-	-	-	-	-
